0,add,node1
0,add,node2
0,add,node3
0,add,node4
0,add,node5
0,add,node6
0,add,node7
0,add,node8
0,add,node9
0,add,node10
0,add,node11
0,add,node12
0,add,node13
0,add,node14
0,add,node15
0,add,node16
0,add,node17
0,add,node18
0,add,node19
0,add,node20
0,add,node21
0,add,node22
0,add,node23
0,add,node24
600000,remove,node1
1200000,remove,node2
1800000,remove,node3
2400000,remove,node4
3000000,remove,node5
3600000,remove,node6
4200000,remove,node7
4800000,remove,node8
5400000,remove,node9
6000000,remove,node10
6600000,remove,node11
7200000,remove,node12
